Nom,Type de vin,Type de vin précision,Degré d'alcool,Brasserie,Pays,Prix,Fruité,Vivacité,Puissance,Epicé/boisé,Visuel,Odeur,Goût,Accompagnements,Description,Url
DOMAINE LES EMINADES PIERRE PLANTÉE 2019,ROUGE,SAINT CHINIAN,13.0,LES EMINADES,FRANCE,10.8,6,4,6,0,"Rouge grenat, reflets violines","Mûre, cassis, épices","Généreux, caressant, soyeux","Viande rouge, Viande blanche, Agneau","Saint-Chinian, au nord-Ouest de Béziers, est une région viticole relativement jeune, l'AOC datant de 1982. Deux terroirs très distincts composent cette appellation.
Le domaine des Eminades est situé sur la partie sud de l'AOC Saint-Chinian. Ce domaine, dirigé depuis 2002 par un couple de passionnés qui est tombé sous le charme de ce domaine et de son terroir, a été très rapidement converti à l'agriculture biologique. Loin des diktats du marketing inhérent aux vins du Languedoc, ce domaine a à cœur de réaliser du vin qui doit, avant tout, plaire à ses deux vignerons, pour avoir des cuvées qui leur ressemble.
Cette cuvée Pierre Plantée est la cuvée plaisir et fruit des Eminades. C'est un vin de partage, marqué par le soleil languedocien et le terroir de Saint-Chinian où le bois y est totalement absent afin de laisser s'exprimer le raisin. Plein de générosité, on vous conseille ce vin lors de vos barbecues d'été.",https://vandb.fr/domaine-les-eminades-pierre-plantee-2019.html
DAVID LARGE ROCHENOIRE MOULIN À VENT 2018,ROUGE,MOULIN À VENT,13.0,DAVID LARGE,FRANCE,22.9,8,6,8,0,"Robe pourpre cerise, reflets violets","Fruits rouges frais, épices, précis","Élégant, enveloppé, tanins fins et ronds","Viande rouge, Gibier, Barbecue, Ribs","Vignoble familial depuis 1678, le domaine Striffling est aujourd’hui conduit en approche biodynamique, dans le respect des sols, de la vigne et pour une grande qualité du vin. Guillaume Striffling, qui a repris le vignoble en 2012 s'inspire avec bon sens de l'agriculture bio et biodynamique et s'il n'a pas le label, sa philosophie nous a séduit.
L'AOP Morgon produit sur le terroir du “Grand Cras” est un vin structuré et puissant, aux notes de fruits frais et aux tanins charnus. Un vin rouge sublime sur des viandes grillées au barbecue !",https://vandb.fr/david-large-rochenoire-moulin-a-vent-2018.html
VIGNES DE MARTIN CAZES ROUGE 2019,ROUGE,SANS IG,13.0,DOMAINE CAZES,FRANCE,8.3,8,4,6,0,Rouge pourpre,Fruits noirs,"Velouté, fruits noirs, épices","Viande blanche, Charcuterie, Apéro, Barbecue","Une cuvée née d'une collaboration entre V and B et la maison Cazes ! Leurs vins travaillés en bio et biodynamie nous ont rappelés la légende de l’âne de St Martin que l’on retrouve sur l’étiquette. Il y a très longtemps, Martin accompagné de son âne allait de monastères en monastères. L'âne, très gourmand raffolait des ceps de vignes qui poussaient autour des battisses. C'est en revenant sur ses pas, une fois l'automne arrivé qu'il se rendit compte que les pieds de vignes ainsi ""taillés"" par son âne avaient donné un raisin de bien meilleure qualité. C'est ainsi que St Martin comprit tout l’intérêt de la taille de la vigne et l'aurait enseignée aux vignerons.
Un joli mariage de grenache et de syrah, ce vin rouge nous offre de jolis arômes de fruits noirs épicés. Parfait sur une planche de charcuterie ou autour d'une grillade.",https://vandb.fr/vignes-de-martin-cazes-rouge-2019.html
DOMAINE DE MONTGILET ANJOU ROUGE 2018,ROUGE,ANJOU ROUGE,13.0,DOMAINE DE MONTGILET,FRANCE,9.0,6,6,6,0,"Rouge grenat, reflets rosés","Fruits rouges frais, framboise, ligérien","Enveloppant, frais, tanins souples","Viande rouge, Barbecue, Burger","Créé en 1880, le domaine de Montgilet est aujourd'hui tenu par Victor et Vincent Le Breton. Figures de l’Anjou et reconnus nationalement, les deux frères élaborent des vins de plusieurs appellations de la Loire. La cuvée Anjou est élaborée à partir du Cabernet Franc, appelé justement le ""Breton"" dans la Loire et de Cabernet Sauvignon.
Un vin fin, avec une jolie structure qui pourra facilement vieillir 3 ou 4 ans en cave. Juste équilibre entre le fruité et le charnu, cette cuvée régale les cuisiniers qui peuvent l’accorder avec une large palette de viandes.",https://vandb.fr/domaine-de-montgilet-anjou-rouge-2018.html
AMOUR DE DEUTZ BLANC 2010,EFFERVESCENT BLANC,CHAMPAGNE,12.0,MAISON DEUTZ,FRANCE,153.9,6,6,8,4,"Jaune prononcé, reflets dorés","Complexe, aromatique, toasté","Distingué, large, minérale",,"Rendez-vous chez Deutz, au cœur du château de la famille. Entre histoire, amour de la vigne et pétillant, découvrez les secrets de cette bulle si fine !
L'année dernière, l'équipe V and B a été reçue par la grande maison Deutz dans ses locaux. L'idée était de partager nos idées, nos histoires, et surtout, notre savoir faire !
Les VandBistes en ont beaucoup appris sur cette grande maison, la demeure historique remplie des portraits rendant hommage aux alleux. La visite passionnée et passionnante, des kilomètres de caves souterraines, et la dégustation commentée autour d'un déjeuner splendide.
Mais ce qu'on retient, c'est l'Amour ! Amour de Deutz bien sur ! Un blanc de blanc, 100% chardonnay de 2009 vieilli en cuve. Des arômes floraux, minéraux, fruités. Et surtout, cette finesse !
Nous le dégustons sur une bouchée de bœuf de kobé. Et surprise, pour les femmes, un collier paré de l'ange en or et diamants nous est offert ! On vous donne envie ? Vous venez avec nous la prochaine fois ?",https://vandb.fr/amour-de-deutz-blanc-2010.html
LES JAMELLES MERLOT ROUGE 2019,ROUGE,PAYS D'OC,13.5,DOMAINE LES JAMELLES,FRANCE,6.5,8,4,4,0,"Rouge rubis, reflets violets","Épicé, cerise noire, mûre","Ronde, charnue, opulente","Viande rouge, Barbecue, Burger, Tarte salée","Les Jamelles est un projet né de la passion commune pour les cépages et les terroirs de deux œnologues. Un véritable travail d'apprentissage pour Catherine et Laurent Delaunay, qui souhaitent transmettre l'art de la dégustation à travers leur gamme de vin qui répond à tous les goûts. Vous trouverez forcement votre bonheur chez les Jamelles.
La cuvée ""Merlot"" est le best-seller de la marque. On y retrouve toute la typicité des vignobles du Sud : la complexité des vins de la région de Nîmes, le fruité et la richesse du terroir de Béziers, l'élégance et la structure apportées par l'est de la vallée de l'Aude et enfin, le caractère de l'ouest audois.
Un assemblage explosif pour cette cuvée incontournable qui saura vous séduire sur toutes les cuisines, de la plus simple (pizza ou burger maison) à la plus traditionnelle (tomates farcies ou ratatouille) en passant par la cuisine épicée.",https://vandb.fr/les-jamelles-merlot-rouge-2019.html
MAISON DELAS LES CHALLEYS SAINT JOSEPH ROUGE 2019,ROUGE,SAINT JOSEPH,13.5,MAISON DELAS,FRANCE,19.4,6,6,6,0,"Rouge grenat sombre, reflets violines","Epicé, fruits noirs, violette","Ample, corsé, tanins fondus","Viande rouge, Gibier, Fromages, Barbecue, Burger","Cultivé il y a des siècles par les moines, le vignoble de Saint Joseph était déjà très réputé en France et à l'international. Très apprécié des rois de France, notamment de Charlemagne et des Tsars Russes, ces vins sont très typiques des syrah septentrionales.
Le vignoble escarpé et bien exposé, au sol granitique va donner des vins généreux et volumineux. Delas, avec sa cuvée ""Les Challeys"", a cherché à assembler des jus provenant de l'ensemble de l'appellation Saint-Joseph pour obtenir des vins typiques, au caractère corsé. Des notes de petits fruits (fraises, framboises, cassis), des arômes légèrement boisés et épicés et une jolie structure tannique qui s'harmoniseront parfaitement avec la gastronomie de terroir. Il peut se garder en cave une dizaine d'années, mais n'hésitez pas à le carafer 2h avant de le déguster si vous souhaitez en profiter dès maintenant.",https://vandb.fr/maison-delas-les-challeys-saint-joseph-rouge-2019.html
CASA SAINT PIERRE VIOGNIER 2019,BLANC,PAYS D'OC,13.5,LANGUEDOC,FRANCE,6.8,8,6,4,0,Robe jaune pâle,"Abricot, Fleurs blanches, Exotique","Minérale, Frais, Rond","Crustacés, Coquillages et crustacés, Poisson, Apéro, Poisson grillé, Fromage doux","Un 100% Viognier du Languedoc-Roussillon, cépage très fin et élégant, qui donne de beaux vins blancs aux arômes floraux. Le soleil de la région vient lui apporter une rondeur ainsi que des notes d’abricot et de fruits exotiques. La structure et les arômes de ce vin blanc sont très surprenants et offrent une belle fraîcheur qui va de paire avec ces derniers. Un côté minéral, dû au terroir argilo-calcaire du Mas Saint Pierre, lui donne un gout de reviens-y !
Cette cuvée blanche aux accents du Sud sublimera des plats méditerranéens, des poissons grillés aux herbes de Provence, ou même des tapas à l’apéritif. Sa fraîcheur est idéale en période estivale.",https://vandb.fr/casa-saint-pierre-viognier-2019.html
DOMAINE CASTELNAU LA FÉE LASSE ROUGE 2018,ROUGE,LANGUEDOC,14.0,DOMAINE CASTELNAU,FRANCE,9.9,8,4,6,2,"Ronge intense, reflets rosés","Prune, fruits rouges confits, garrigues","Suave, équilibré, tanins doux","Viande rouge, Plats épicés, Agneau, Burger, Ribs","V and B vous gâte avec cette cuvée à majorité grenache, un cépage doux, fruité et velouté, planté sur un superbe terroir entouré de garrigues. Dégustez ce vin à la robe légère et aux arômes intenses et profonds de fruits mûrs et de violette. La bouche est volumineuse, charpentée et élégante, sur des tanins fins. La finale offre une bonne persistance sur des notes gourmandes et vanillées.
Il sera l'accompagnement idéal d'un plat puissant ou épicé : tajine de légumes, d'un risotto aux gorgonzola, d'agneau…
Un vin rouge à déguster entre amis consentants.",https://vandb.fr/domaine-castelnau-la-fee-lasse-rouge-2018.html
PUECH HAUT PRESTIGE LANGUEDOC ROUGE 2018,ROUGE,LANGUEDOC,14.5,CHÂTEAU PUECH-HAUT,FRANCE,17.5,8,4,8,4,"Rouge pourpre, reflets rosés","Baies noirs confites, garrigues, coulis","Riche,","Viande rouge, Agneau, Barbecue","Qui dit Château Puech Haut dit forcément Languedoc et têtes de Béliers. Cette maison a su se faire un nom sur toutes les belles tables de France et du monde grâce à ces cuvées juste et son goût prononcé pour l'art, notamment à travers leur collection de BIB'ART (oui, oui, vous les trouverez aussi chez V and B)!
Ce grand domaine, de plus de 150 Ha, cultive un caractère unique et des vins signature issus de cette terre des béliers. Cette cuvée prestige c'est l'emblème des grands vins de Languedoc que propose ce domaine. Derrière une légère touche de boisé, on découvre la puissance et la complexité de ce vin ensoleillé et riche. À marier sûr de belles viandes, vous vous approcherez du paradis.",https://vandb.fr/puech-haut-prestige-languedoc-rouge-2018.html
DOMAINE OLLIER TAILLEFER CASTEL FOSSIBUS BIO 2016,ROUGE,FAUGÈRES,14.5,DOMAINE OLLIER TAILLEFER,FRANCE,19.9,8,2,10,6,Grenat brillant,"Fruits rouges macérés, boisé élégant","Opulent, généreux, tanins soyeux mais présents","Viande rouge, Gibier, Ribs","Issu des plus vieillies vignes de Françoise et Luc Ollier, le Castel Fossibus est la cuvée haut de gamme du domaine. La plus riche et la plus puissante, c'est en tout cas celle qui a le caractère le plus trempé. Un élevage de 12 mois en chêne français lui aura affiné ses tanins, Mais sa robe sombre, ses arômes de fruits noirs et d'épices, sa structure massive et sa texture soyeuse en font un vin parfait pour soutenir une viande de type gibier ou un plat en sauce.
Une très belle cuvée du Languedoc taillée pour la garde qui rivalise avec les grands Bordeaux.",https://vandb.fr/domaine-ollier-taillefer-castel-fossibus-bio-2016.html
UBY TANNAT MERLOT ROUGE 2019,ROUGE,CÔTES DE GASCOGNE,13.0,DOMAINE D'UBY,FRANCE,6.2,8,2,4,2,Robe grenat,"Myrtilles, Mûre, Grillé, Pointe d'épices","Ample, Fruitée, Finale fraîche","Viande rouge, Charcuterie, Barbecue, Burger","Fameux vignoble des Côtes de Gascogne, le domaine Uby cultive la vigne depuis plus d’un siècle. La tortue cistude, espèce en voie de disparition a choisi l'étang d'Uby pour se reproduire. Le vigneron s'est ainsi engagé à préserver ce lieu et la tortue s'est de suite imposée comme l'emblème du domaine. Le n°7 est un rouge fruité, gouleyant et frais, il fera le bonheur des barbecues entre amis.",https://vandb.fr/uby-tannat-merlot-rouge-2019.html
AOP BOURGUEIL ROUGE FUNAMBULE FRÈRES MARCHESSEAU 2019,ROUGE,BOURGUEIL,13.0,BERTRAND & VINCENT MARCHESSEAU,FRANCE,10.6,8,6,6,0,"Rouge grenat, reflets violet","Fruits rouges, grillé, épicé","Gourmand, savoureux, tanins légers et fondus","Viande rouge, Viande blanche, Charcuterie, Barbecue","C'est en 2001 que les frères Bertrand et Vincent Marchesseau reprennent le domaine. Un vignoble qui a la particularité de se situer entre 3 appellations : Bourgueil, Saint Nicolas de Bourgueuil et Chinon. C'est sur Bourgueil qu'ils réalisent leur cuvée Funambule, entre des sols d'argiles et des graves. Les graviers, plus proches de la Loire vont produire des vins légers, tandis que les argiles plus en amont vont nourrir la vigne et produire des vins plus riches.
Funambule, c'est donc l'équilibre entre ces deux terroirs, un exercice de style entre puissance et finesse pour un vin gourmand, rond et soyeux qui accompagnera tout types de viandes, de la charcuterie au rôti.
Un travail réussi pour les frères Marchesseau qui ont récemment passer leur domaine en bio.",https://vandb.fr/aop-bourgueil-rouge-funambule-freres-marchesseau-2019.html
CHÂTEAU LE CONTE SAINT-ÉMILION GRAND CRU 2018,ROUGE,SAINT EMILION GRAND CRU,14.5,VIGNOBLES INVINDIA,FRANCE,29.9,6,2,8,8,Rouge grenat profond,fruits noirs épicées toastées,"Riche, structuré et frais","Viande rouge, Agneau, Gibier","Implanté dans l'aire d'appellation Saint-Émilion Grand Cru, un des vignobles de référence de Bordeaux. Connu à travers le monde pour ses grands vins, mais aussi pour son historique viticole classé au patrimoine mondial de l'UNESCO.
Le Château le Conte est le fer de lance des vignobles Invindia. Ce domaine offre des vins qui sont le parfait reflet de l'appellation, des vins élégants et classieux. Ce domaine de 5Ha, en conversion en agriculture biologique, a été repris et réhabilité par leurs propriétaires actuels. D'un état de quasi abandon, ce domaine a retrouvé sa splendeur et son panache d’antan. Ses vins sont à l'image du domaine, une renaissance de Saint-Émilion, entre modernité et tradition, une pépite en devenir de l'appellation notamment grâce à Hugues Laborde, jeune régisseur talentueux de ce domaine.
Pour cette cuvée on retrouve un vin rouge complexe, et structuré par un élevage de 18 mois en fût de Chêne français. C'est un vin au potentiel de garde affirmé, précis, avec le Merlot présent sous ses plus beaux appareils, fraîcheur et finesse du fruits.",https://vandb.fr/chateau-le-conte-saint-emilion-grand-cru-2018.html
FRÈRES MARCHESSEAU AMPOULE CHINON ROUGE 2019,ROUGE,CHINON,13.0,DOMAINE MARCHESSEAU,FRANCE,9.9,8,6,4,0,"Rouge cerise, reflets violine","Fruits rouges acidulés, épices","Léger, coulant, facile","Viande rouge, Charcuterie, Burger","Chinon est une petite appellation du Val de Loire, appelée la ""Rabelaisie"" par les amateurs de littérature. En effet un certain François Rabelais y a fait se tenir la toute première version du célèbre ""Gargantua"". Une pierre posée au grand édifice de la philosophie, de la tolérance et de l'humanisme. Chinon est un lieu parfait de la rencontre entre vin, littérature et histoire...
Le domaine Marchesseau est un domaine familiale repris par Vincent et Bertrand Marchesseau, deux frères très complémentaires : - le premier à l'élevage et au commerce - le second à la vigne.
Ces deux jeunes vignerons insufflent un vent nouveau dans cette appellation : des cuvées décalées, des vins modernes et un vrai talent à la vigne comme au chai.
L'ampoule est une cuvée lumineuse de ces deux frères talentueux, il suffit de se rendre sur place, se laisser porter par les anecdotes de Vincent pour comprendre ce nom qui interpelle. Un vin facile et croquant, représentant toute la fraîcheur de cette région, avec une touche moderne comme signature de ce domaine. Le tout souligné par une certification bio !",https://vandb.fr/freres-marchesseau-ampoule-chinon-rouge-2019.html
